source,source_id,review_id,review_title,doi,file_id,file_name,file_size,download_url,format,license,license_url,parse_status,download_status,sha256,normalized_rows,test_groups
OSF,23ema,OSF:23ema,"Failure of Tooth Eruption: A Systematic Review and Meta-Analysis of Pathogenesis, Genetic Basis, Diagnostic Accuracy, and Treatment Outcomes",10.17605/osf.io/23ema,6990d96f35c238a5ffb86536,FTE _MAEN.pdf,4031342,https://osf.io/download/6990d96f35c238a5ffb86536/,pdf,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,unsupported_format,,,,
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,697694d038768abec165c8c3,Laboratory Capacity 11.docx,3143816,https://osf.io/download/697694d038768abec165c8c3/,docx,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,no_table_with_required_columns,200,f62da94f99dd69373da3d13ea140515fc5452147569ac67dbe4f31f287e92f2f,0,0
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,697694ea31351a6e3865c3f2,Supplementary_Tables.docx,27688,https://osf.io/download/mygkx/,docx,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,no_table_with_required_columns,200,cbcc975a2d21f6e652768f730afec717def25eec63c78ac0de6f41603a417c97,0,0
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,697694ea9b49fe625065c52a,File S3_S8.docx,36861,https://osf.io/download/697694ea9b49fe625065c52a/,docx,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,no_table_with_required_columns,200,f9fa34397f210ca6e20dfb7d809cf04257579b7a624e8f02251542d236c8f30a,0,0
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,697694eb31351a6e3865c3f4,File S2_Analysis Scripts Documentation.docx,16829,https://osf.io/download/697694eb31351a6e3865c3f4/,docx,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,no_table_with_required_columns,200,e9b5f960956a9a861c223c51a32ed886c1b0754b00f7ddf1217429798452e469,0,0
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,697694ec31351a6e3865c3f6,File S1_Comprehensive_Study_Checklists.docx,49842,https://osf.io/download/tu9v7/,docx,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,no_table_with_required_columns,200,eafaf1f79bcc56c8dbd161fe3ac9b1fb7d21bbb1d2eb03042db3c49a8c5fc739,0,0
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,697694fc38768abec165c8c7,Ethical approval certificate.pdf,560617,https://osf.io/download/36urt/,pdf,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,unsupported_format,,,,
OSF,245wj,OSF:245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts",10.17605/osf.io/245wj,6976950311e323e5b50d754f,Supplementary Figures.docx,4489650,https://osf.io/download/rgjcs/,docx,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,no_table_with_required_columns,200,b3a5fe36e3dd233ecdd579d6274166468b653ce0230d1d0d367b96b0e29182ee,0,0
OSF,2bajy,OSF:2bajy,Diagnostic accuracy of colorectal polyp diagnosis using computer-aided diagnosis in comparison with colonoscopist: A systematic review and meta-analysis (protocol),10.17605/osf.io/2bajy,66ed7b29f2abf7ace706a043,20240920 OSF file.pdf,174611,https://osf.io/download/4a8eh/,pdf,,,unsupported_format,,,,
OSF,2qa9p,OSF:2qa9p,Serum placental growth factor (PlGF) for the prediction of early-onset pre-eclampsia in the first trimester of pregnancy: a systematic review,10.17605/osf.io/2qa9p,6a109fe719125942404874dc,Protocol PlGF.pdf,104306,https://osf.io/download/6a109fe719125942404874dc/,pdf,Academic Free License (AFL) 3.0,http://opensource.org/licenses/AFL-3.0,unsupported_format,,,,
