candidate_rank,selected_for_main_figure,selection_note,review_id,review_title,test_a,group_a,sensitivity_a,specificity_a,youden_j_a,test_b,group_b,sensitivity_b,specificity_b,youden_j_b,absolute_j_difference,information_difference_5,information_difference_20,information_difference_50,maximum_information_difference
1,False,candidate retained for audit,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,Any varices - All the studies,legacy:CD008760:1,0.792756935689455,0.77706901288316,0.569825948572615,Any varices - studies at low risk of bias for QUADAS-2 'flow and timing' domain,legacy:CD008760:4,0.805009967783513,0.76336831952746,0.568378287310973,0.00144766126164253,0.00261084271904369,0.00239162254354491,0.000836131087096709,0.00261084271904369
2,False,candidate retained for audit,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,Any varices - only full-text studies,legacy:CD008760:5,0.791771069170757,0.799730746188176,0.591501815358932,Large varices - all the studies,legacy:CD008760:6,0.708015715627092,0.885043678952027,0.593059394579119,0.00155757922018696,0.0320361221980373,0.0290148206347837,0.0146160167395255,0.0320361221980373
3,False,candidate retained for audit,CD010772,Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE) for the diagnosis of dementia within a secondary care setting,IQCODE cut-off 3.3 or nearest,legacy:CD010772:1,0.888508494130759,0.658553054299075,0.547061548429834,IQCODE cut-off 3.6,legacy:CD010772:7,0.874199992904077,0.676222529694224,0.5504225225983,0.00336097416846681,0.000951808805650517,0.000335975409301303,0.0017995162252645,0.0017995162252645
4,False,candidate retained for audit,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,POD TVUS,legacy:CD009591:10,0.814013540633648,0.956600804529274,0.770614345162923,POD MRI,legacy:CD009591:33,0.867641281164854,0.898931108292871,0.766572389457725,0.00404195570519805,0.0831060269878487,0.0619645599208693,0.0287809129804143,0.0831060269878487
5,True,near-equal J; same review and target; large information gap; familiar emergency-medicine context,CD015089,"Head impulse, nystagmus, and test of skew examination for diagnosing central causes of acute vestibular syndrome",HINTS - subcomponent head impulse,modern:CD015089:5,0.65422343553717,0.884077478954528,0.538300914491698,HINTS - subcomponent nystagmus,modern:CD015089:7,0.560737803321923,0.971153034565273,0.531890837887196,0.00641007660450232,0.094283305940686,0.0779605860593845,0.0482153256556371,0.094283305940686
6,False,candidate retained for audit,CD009185,"Procalcitonin, C-reactive protein, and erythrocyte sedimentation rate for the diagnosis of acute pyelonephritis in children",CRP (20 mg/L),legacy:CD009185:2,0.903141681866574,0.430460345104562,0.333602026971136,ESR (30 mm/h),legacy:CD009185:3,0.859260659781693,0.481573316803012,0.340833976584704,0.00723194961356827,0.002807447130507,0.0046362384440661,0.00783128109066079,0.00783128109066079
7,False,candidate retained for audit,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,Ultrasound for high-grade VUR,legacy:CD010657:2,0.582283237327122,0.751341418422331,0.333624655749454,DMSA for high-grade VUR,legacy:CD010657:6,0.881849216244259,0.444363683031565,0.326212899275824,0.00741175647362952,0.001125608379003,0.00536793462732139,0.0150983678053695,0.0150983678053695
8,False,candidate retained for audit,CD010542,Transient elastography for diagnosis of stages of hepatic fibrosis and cirrhosis in people with alcoholic liver disease,Transient elastography fibrosis stage F3 or worse,legacy:CD010542:4,0.885411084781386,0.709527194321391,0.594938279102776,Transient elastography fibrosis stage F4,legacy:CD010542:7,0.915890422283929,0.687280105507368,0.603170527791297,0.0082322486885209,0.0075858800056802,0.0121693888338627,0.0194718327600972,0.0194718327600972
9,False,candidate retained for audit,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,Ultrasound,legacy:CD010657:1,0.446133221508263,0.759897952307399,0.206031173815662,DMSA,legacy:CD010657:5,0.733865856796161,0.480898505256471,0.214764362052632,0.00873318823697009,0.000875102975507299,0.000286398273660598,0.0015688682144039,0.0015688682144039
10,False,candidate retained for audit,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,Any varices - studies at low risk of bias for QUADAS-2 'patient selection' domain,legacy:CD008760:3,0.763940761423781,0.794620282385681,0.558561043809462,Any varices - studies at low risk of bias for QUADAS-2 'flow and timing' domain,legacy:CD008760:4,0.805009967783513,0.76336831952746,0.568378287310973,0.00981724350151092,0.00131590667851211,0.00416761330242549,0.00932538968656119,0.00932538968656119
