analysis_version,operating_point_id,source,review_id,review_title,group_id,test_name,model,starting_probability,starting_entropy_bits,positive_result_probability,negative_result_probability,post_positive_probability,post_negative_probability,positive_branch_entropy_bits,negative_branch_entropy_bits,positive_entropy_change_bits,negative_entropy_change_bits,information_bits,positive_information_contribution_bits,negative_information_contribution_bits,pooled_mean_positive_branch_entropy_bits_low,pooled_mean_positive_branch_entropy_bits_median,pooled_mean_positive_branch_entropy_bits_high,pooled_mean_negative_branch_entropy_bits_low,pooled_mean_negative_branch_entropy_bits_median,pooled_mean_negative_branch_entropy_bits_high,pooled_mean_post_positive_probability_low,pooled_mean_post_positive_probability_median,pooled_mean_post_positive_probability_high,pooled_mean_post_negative_probability_low,pooled_mean_post_negative_probability_median,pooled_mean_post_negative_probability_high,predictive_positive_branch_entropy_bits_low,predictive_positive_branch_entropy_bits_median,predictive_positive_branch_entropy_bits_high,predictive_negative_branch_entropy_bits_low,predictive_negative_branch_entropy_bits_median,predictive_negative_branch_entropy_bits_high,predictive_post_positive_probability_low,predictive_post_positive_probability_median,predictive_post_positive_probability_high,predictive_post_negative_probability_low,predictive_post_negative_probability_median,predictive_post_negative_probability_high,positive_branch_entropy_movement,negative_branch_entropy_movement
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,continuity-corrected bivariate REML,0.05,0.2863969571159562,0.1582591006092399,0.84174089939076,0.2108561832989161,0.0197567803646622,0.7431161187161253,0.1400727490258702,0.456719161600169,-0.146324208090086,0.0508871067745408,0.0358593353667276,0.0150277714078131,0.6485882331757368,0.741872135594558,0.8354129526526993,0.1215437913844518,0.1402132772279485,0.1593940959356488,0.1660498472160604,0.2102038104714341,0.26582717005355,0.0165396669501402,0.019781733031343,0.023263980270253,0.3095012379091932,0.7252674212627054,0.998813909386947,0.0706995601683795,0.1479030933863578,0.2573605461588046,0.0556607141063844,0.2036165752433973,0.678379626323482,0.0085033770266511,0.0211596562604492,0.0433307656901175,increase,decrease
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,continuity-corrected bivariate REML,0.2,0.7219280948873623,0.2386494844923604,0.7613505155076395,0.5593124996312611,0.0873715311646078,0.9898253350506604,0.4276349381208912,0.2678972401632979,-0.294293156766471,0.1601267083526261,0.1075659473554266,0.0525607609971994,0.9488624405144036,0.990136247653307,0.9999579665182527,0.3805861952116056,0.4279825590379327,0.4741636805613476,0.4860683604589373,0.5583448183371618,0.6323348594429421,0.0739751987037972,0.0874742601671449,0.1016370937431449,0.438977008855214,0.9267698220218364,0.9998128259986094,0.2383483667625185,0.4467973314886627,0.6735850589790833,0.2187328021050631,0.5484233875464093,0.9092473727985928,0.0391428663129266,0.0931194582555614,0.1770519068663947,increase,decrease
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,continuity-corrected bivariate REML,0.5,1.0,0.3994302522586015,0.6005697477413985,0.8354377200547882,0.2769052243433565,0.6451131090222066,0.8511996142921894,-0.3548868909777933,-0.1488003857078106,0.2311175704948934,0.1417525603865307,0.0893650101083627,0.5489085759736421,0.6463780672422672,0.7396971780708443,0.7986129171197343,0.8515565111400457,0.8949574346196718,0.7909321547123975,0.8348973857732773,0.873087828954439,0.2421594209628705,0.2771631232192204,0.311552502307329,0.1651872512751618,0.659328576004633,0.9962097985897354,0.5845468338764299,0.8700265717674196,0.9933751218469984,0.528276808470208,0.8292890386585654,0.9756547999769262,0.1401176463480908,0.2911442488294686,0.462531418331609,decrease,decrease
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:2,Cochrane DTA Reference Dataset,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:2,Children,continuity-corrected bivariate REML,0.05,0.2863969571159562,0.0559188696361467,0.9440811303638532,0.3948339077725692,0.0295751427343689,0.9678482919985104,0.1922567246976721,0.6814513348825543,-0.0941402324182841,0.0507700286754937,0.0438056183816579,0.0069644102938357,0.7560884935065815,0.9605106409140136,0.9998657254698468,0.0946541935925751,0.1924268000279584,0.2588727662966553,0.2177775136897538,0.3840086554553189,0.5508307445591981,0.0121378878591549,0.0296089192652105,0.0436699296803228,0.3868555285203493,0.9308033347111314,0.9996914743768046,0.0180354555421059,0.1924721901223795,0.2851973151608264,0.0757033029159222,0.3464328744883505,0.527113268471015,0.0016939715006744,0.0296179355664937,0.0497178786409618,increase,decrease
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:2,Cochrane DTA Reference Dataset,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:2,Children,continuity-corrected bivariate REML,0.2,0.7219280948873623,0.1168116770093805,0.8831883229906194,0.7560431073989863,0.1264569897789822,0.8015587643779145,0.5476407766064696,0.0796306694905522,-0.1742873182808927,0.1446267323064628,0.1206028636849942,0.0240238686214685,0.601058750444299,0.81512990634851,0.9852863908544344,0.3078626932025257,0.5480031035164867,0.6762176792481982,0.5694185797444301,0.7475478890851588,0.8534815321519613,0.0551449311026902,0.1265869779684509,0.178242736793574,0.6193332806710973,0.8533480160751831,0.9990446818996052,0.0671907609317845,0.5480997712401148,0.7200217094805699,0.2800796164040066,0.715732022115265,0.8411359082887562,0.007995573601403,0.1266216719321758,0.1990488490853636,increase,decrease
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:2,Cochrane DTA Reference Dataset,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:2,Children,continuity-corrected bivariate REML,0.5,1.0,0.2385972917558481,0.7614027082441519,0.9253527420276574,0.3667091524762744,0.3830317382346427,0.9481117378734856,-0.6169682617653572,-0.0518882621265144,0.1867148196657378,0.1472069563565274,0.0395078633092105,0.2475481525434783,0.3945713804362624,0.6318841384246137,0.6999380392674112,0.9483268501524116,0.9963726087866744,0.841011535771752,0.922146206348612,0.9588482663048836,0.1892681817164304,0.366982351379444,0.4645584425452814,0.2651536196877946,0.4375362363916165,0.9528386877540982,0.2005386629898603,0.948384163942283,0.9999931345688804,0.608789701320696,0.909675796519992,0.9549118058084928,0.031233114410344,0.3670552420460462,0.4985111715072338,decrease,decrease
0.42.0,Cochrane DTA Reference Dataset|CD008054|legacy:CD008054:12,Cochrane DTA Reference Dataset,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:12,Triage of LSIL with HC2; CIN2+ (studies with both tests),continuity-corrected bivariate REML,0.05,0.2863969571159562,0.7277796724353469,0.2722203275646531,0.0645800659549902,0.011020267223474,0.3453639335338924,0.0874834349845615,0.0589669764179361,-0.1989135221313946,0.0112333373696987,0.0021601133119064,0.0090732240577922,0.3264471944377888,0.3444145535601409,0.3684915277943359,0.0508951274255177,0.0873786669152187,0.1436614377394001,0.0597488637670529,0.0643340739881105,0.070689513462267,0.0057272412131352,0.0110041211859376,0.0203965737213415,0.3122496023697928,0.3435348669409073,0.3990926805240047,0.0414506049657254,0.0877203382738083,0.1721164979503971,0.0562190976782335,0.0641064747857022,0.0791261681200537,0.0044861055080516,0.0110567965256301,0.0256561850097759,increase,decrease
0.42.0,Cochrane DTA Reference Dataset|CD008054|legacy:CD008054:12,Cochrane DTA Reference Dataset,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:12,Triage of LSIL with HC2; CIN2+ (studies with both tests),continuity-corrected bivariate REML,0.2,0.7219280948873623,0.7612883323031635,0.2387116676968365,0.2469501094513522,0.0502688583657171,0.8064082787104903,0.2875379520875673,0.0844801838231279,-0.434390142799795,0.0393802171634322,0.0071713627959681,0.0322088543674642,0.7812353439656256,0.8051870613692822,0.8348111078476306,0.1772116211320337,0.2872379913170068,0.4364694487733437,0.2318575161029464,0.2461922800849109,0.2654169559030229,0.0266324074318619,0.0501981271057678,0.0899998898890762,0.7611615002546375,0.8040515518205495,0.8685215191554929,0.1467775937744136,0.2882159065747753,0.5034380838240359,0.2205450500537639,0.2454901095415115,0.2898454493874209,0.0209564529388725,0.050428852636279,0.1111710362506831,increase,decrease
0.42.0,Cochrane DTA Reference Dataset|CD008054|legacy:CD008054:12,Cochrane DTA Reference Dataset,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:12,Triage of LSIL with HC2; CIN2+ (studies with both tests),continuity-corrected bivariate REML,0.5,1.0,0.8283056520387964,0.1716943479612036,0.5674241040235531,0.1747256557392311,0.9868429430263264,0.6684017399878255,-0.0131570569736736,-0.3315982600121745,0.0678316116933503,0.0108980646554903,0.0569335470378599,0.9759476839489816,0.9872320796411214,0.9936244711621304,0.4646949340784659,0.6679229336458435,0.8601283164481299,0.5469716204839719,0.5664225460378274,0.5910465195538204,0.0986479338281608,0.1745119841390389,0.2834642933513927,0.957940237508312,0.9875882663411234,0.997241299242396,0.3981760060930515,0.6694824669739344,0.9184305880171708,0.5309108922794489,0.5654922067937456,0.6201440257883428,0.0788674647711574,0.1752086907926398,0.3334681466184374,decrease,decrease
0.42.0,Cochrane DTA Reference Dataset|CD008054|legacy:CD008054:15,Cochrane DTA Reference Dataset,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:15,Triage of LISL with repeat cytology (cut-off ASCUS+) CIN2+,continuity-corrected bivariate REML,0.05,0.2863969571159562,0.501945173210492,0.4980548267895079,0.0745354581189291,0.0252728934388792,0.3826255682148398,0.1701010869843036,0.0962286110988835,-0.1162958701316526,0.0096202325889211,0.0040136723147527,0.0056065602741683,0.3373339010875029,0.3801972717689675,0.4448527346879824,0.1245617598029067,0.1708611262795992,0.2214242709032606,0.0625112201833084,0.0738685584596518,0.0925281831592753,0.0170536875825261,0.0254172471886635,0.0355334457530349,0.3067290778019211,0.3765478225711591,0.5150324385121482,0.098606936957345,0.1736391500712861,0.2580415392047573,0.0548686163382671,0.0728710994051566,0.1150736483708811,0.0127643471384497,0.0259468398177627,0.0434833895494575,increase,decrease
