source,source_id,doi,related_article_doi,title,description,subjects,publisher,publication_year,resource_type,resource_type_general,license,license_url,source_url,api_url,matched_queries,access_status,file_probe_selected,primary_candidate,public_file_count
Figshare,1082820,10.1371/journal.pone.0100182.t004,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,Diagnostic Accuracy of FibroTest for the Prediction of Significant Fibrosis and Cirrhosis in Various Studies.,Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | fibrotest | fibrosis,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Diagnostic_Accuracy_of_FibroTest_for_the_Prediction_of_Significant_Fibrosis_and_Cirrhosis_in_Various_Studies_/1082820,https://api.figshare.com/v2/articles/1082820,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1082821,10.1371/journal.pone.0100182.t001,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"APRI, aspartate aminotransferase-to-platelet ratio index; FIB-4, fibrosis index based on the 4 factors; HBV, hepatitis B virus; HCV, hepatitis C virus; HDV, hepatitis D virus; QUADAS, The quality assessment of diagnostic accuracy studies.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | 31 | studies | included,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Characteristics_of_the_31_Studies_Included_in_the_Meta_analysis_/1082821,https://api.figshare.com/v2/articles/1082821,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1082822,10.1371/journal.pone.0100182.t002,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"APRI, aspartate aminotransferase-to-platelet ratio index; AUROC, area under the receiver operating characteristic; PPV, positive predictive value; NPV, negative predictive value; 95%CI, 95% confidence interval.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | apri | fibrosis,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Diagnostic_Accuracy_of_APRI_for_the_Prediction_of_Significant_Fibrosis_in_Various_Studies_/1082822,https://api.figshare.com/v2/articles/1082822,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1082823,10.1371/journal.pone.0100182.t003,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"APRI, aspartate aminotransferase-to-platelet ratio index; 95%CI, 95% confidence interval.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | sensitivities | specificities | apri | diagnostic | thresholds,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Summary_Sensitivities_and_Specificities_of_the_APRI_at_Different_Diagnostic_Thresholds_for_the_Prediction_of_Cirrhosis_/1082823,https://api.figshare.com/v2/articles/1082823,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1082824,10.1371/journal.pone.0100182,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"Noninvasive biomarkers have been developed to predict hepatitis B virus (HBV)-related fibrosis owing to the significant limitations of liver biopsy. Those biomarkers were initially derived from evaluation of hepatitis C virus (HCV)-related fibrosis, and their accuracy among HBV-infected patients was under constant debate. A systematic review was conducted on records in PubMed, EMBASE and the Cochrane Library electronic databases, up until April 1st, 2013, in order to systematically assess the effectiveness and accuracy of these biomarkers for predicting HBV-related fibrosis. The questionnaire for quality assessment of diagnostic accuracy studies (QUADAS) was used. Out of 115 articles evaluated for eligibility, 79 studies satisfied the pre-determined inclusion criteria for meta-analysis. Eventually, our final data set for the meta-analysis contained 30 studies. The areas under the SROC curve for APRI, FIB-4, and FibroTest of significant fibrosis were 0.77, 0.75, and 0.84, respectively. For cirrhosis, the areas under the SROC curve for APRI, FIB-4 and FibroTest were 0.75, 0.87, and 0.90, respectively. The heterogeneity of FIB-4 and FibroTest were not statistically significant. The heterogeneity of APRI for detecting significant fibrosis was affected by median age ( P = 0.0211), and for cirrhosis was affected by etiology ( P = 0.0159). Based on the analysis we claim that FibroTest has excellent diagnostic accuracy for identification of HBV-related significant fibrosis and cirrhosis. FIB-4 has modest benefits and may be suitable for wider scope implementation.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | noninvasive | hepatitis | b-related | fibrosis | systematic | diagnostic,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_The_Effectiveness_of_Noninvasive_Biomarkers_to_Predict_Hepatitis_B_Related_Significant_Fibrosis_and_Cirrhosis_A_Systematic_Review_and_Meta_Analysis_of_Diagnostic_Test_Accuracy_/1082824,https://api.figshare.com/v2/articles/1082824,"""diagnostic test accuracy""",files_enumerated,True,True,15
Figshare,1084084,10.1371/journal.pone.0100182.t004,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,Diagnostic Accuracy of FibroTest for the Prediction of Significant Fibrosis and Cirrhosis in Various Studies.,Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | fibrotest | fibrosis,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Diagnostic_Accuracy_of_FibroTest_for_the_Prediction_of_Significant_Fibrosis_and_Cirrhosis_in_Various_Studies_/1084084,https://api.figshare.com/v2/articles/1084084,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1084085,10.1371/journal.pone.0100182.t001,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"APRI, aspartate aminotransferase-to-platelet ratio index; FIB-4, fibrosis index based on the 4 factors; HBV, hepatitis B virus; HCV, hepatitis C virus; HDV, hepatitis D virus; QUADAS, The quality assessment of diagnostic accuracy studies.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | 31 | studies | included,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Characteristics_of_the_31_Studies_Included_in_the_Meta_analysis_/1084085,https://api.figshare.com/v2/articles/1084085,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1084086,10.1371/journal.pone.0100182.t002,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"APRI, aspartate aminotransferase-to-platelet ratio index; AUROC, area under the receiver operating characteristic; PPV, positive predictive value; NPV, negative predictive value; 95%CI, 95% confidence interval.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | apri | fibrosis,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Diagnostic_Accuracy_of_APRI_for_the_Prediction_of_Significant_Fibrosis_in_Various_Studies_/1084086,https://api.figshare.com/v2/articles/1084086,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1084087,10.1371/journal.pone.0100182.t003,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"APRI, aspartate aminotransferase-to-platelet ratio index; 95%CI, 95% confidence interval.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | sensitivities | specificities | apri | diagnostic | thresholds,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_Summary_Sensitivities_and_Specificities_of_the_APRI_at_Different_Diagnostic_Thresholds_for_the_Prediction_of_Cirrhosis_/1084087,https://api.figshare.com/v2/articles/1084087,"""diagnostic test accuracy""",files_enumerated,True,True,1
Figshare,1084088,10.1371/journal.pone.0100182,10.1371/journal.pone.0100182,The Effectiveness of Noninvasive Biomarkers to Predict Hepatitis B-Related Significant Fibrosis and Cirrhosis: A Systematic Review and Meta-Analysis of Diagnostic Test Accuracy,"Noninvasive biomarkers have been developed to predict hepatitis B virus (HBV)-related fibrosis owing to the significant limitations of liver biopsy. Those biomarkers were initially derived from evaluation of hepatitis C virus (HCV)-related fibrosis, and their accuracy among HBV-infected patients was under constant debate. A systematic review was conducted on records in PubMed, EMBASE and the Cochrane Library electronic databases, up until April 1st, 2013, in order to systematically assess the effectiveness and accuracy of these biomarkers for predicting HBV-related fibrosis. The questionnaire for quality assessment of diagnostic accuracy studies (QUADAS) was used. Out of 115 articles evaluated for eligibility, 79 studies satisfied the pre-determined inclusion criteria for meta-analysis. Eventually, our final data set for the meta-analysis contained 30 studies. The areas under the SROC curve for APRI, FIB-4, and FibroTest of significant fibrosis were 0.77, 0.75, and 0.84, respectively. For cirrhosis, the areas under the SROC curve for APRI, FIB-4 and FibroTest were 0.75, 0.87, and 0.90, respectively. The heterogeneity of FIB-4 and FibroTest were not statistically significant. The heterogeneity of APRI for detecting significant fibrosis was affected by median age ( P = 0.0211), and for cirrhosis was affected by etiology ( P = 0.0159). Based on the analysis we claim that FibroTest has excellent diagnostic accuracy for identification of HBV-related significant fibrosis and cirrhosis. FIB-4 has modest benefits and may be suitable for wider scope implementation.",Biochemistry | biomarkers | Diagnostic medicine | Gastroenterology and hepatology | Liver diseases | Infectious hepatitis | Hepatitis B | cirrhosis | Public and occupational health | Global health | mathematics | Statistics (mathematics) | Statistical methods | meta-analysis | Research assessment | Systematic reviews | research design | Clinical research design | noninvasive | hepatitis | b-related | fibrosis | systematic | diagnostic,Figshare,2014,dataset,Dataset,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://plos.figshare.com/articles/dataset/_The_Effectiveness_of_Noninvasive_Biomarkers_to_Predict_Hepatitis_B_Related_Significant_Fibrosis_and_Cirrhosis_A_Systematic_Review_and_Meta_Analysis_of_Diagnostic_Test_Accuracy_/1084088,https://api.figshare.com/v2/articles/1084088,"""diagnostic test accuracy""",files_enumerated,True,True,15
