audit_number,cohort,pmcid,pmc_url,table_id,table_label,expected_acceptance,normalized_rows_checked,normalized_cells_checked,recomputed_normalized_rows,recomputed_normalized_cells,cell_transcription_errors,group_acceptance_error,adjudication,candidate_source_sha256,locked_source_text_sha256,source_hash_consistent_across_article_candidate_table,caption_matches,candidate_type_matches,score_matches,parse_status_matches,matched_terms_match,normalized_denominators_match,all_cell_values_lexically_present_in_locked_source_text,verification_pass
1,orientation_safeguard,PMC12979143,https://pmc.ncbi.nlm.nih.gov/articles/PMC12979143/,T3,Table 3,True,11,44,11,44,0,False,pass: explicit source-table cells and normalized rows agree; excluded only because aggregate orientation is below chance,ec3addefd8a5d69cf68d4f570b419b7693e04fbc088ac7ad715443775f1408d3,ea35870a9a97577ca6b143e4cf05b035020ce5846a606ffa9807aa796bd09296,True,True,True,True,True,True,True,True,True
2,orientation_safeguard,PMC8140837,https://pmc.ncbi.nlm.nih.gov/articles/PMC8140837/,tab1,Table 1,True,19,76,19,76,0,False,pass: explicit source-table cells and normalized rows agree; excluded only because aggregate orientation is below chance,38f8d806bc85f77ce3a6baee445be06fcce26b9951002e0e94185a440d9452ee,d6caf1cb31d8ac012b72893b35399e43ca00f8d62b7f20ca87035488c7986460,True,True,True,True,True,True,True,True,True
3,orientation_safeguard,PMC11193104,https://pmc.ncbi.nlm.nih.gov/articles/PMC11193104/,TAB1,Table 1,True,9,36,9,36,0,False,pass: explicit source-table cells and normalized rows agree; excluded only because aggregate orientation is below chance,8b10917646ea1cf5854a60ae57759b8e6dc9cfef9844cb0880756abb4805753e,6e62ad5ba9ff294a44279a6bb18f7f4aded0858b9148cc9980266fbf167b37eb,True,True,True,True,True,True,True,True,True
4,included,PMC10021667,https://pmc.ncbi.nlm.nih.gov/articles/PMC10021667/,pgph.0000358.t002,Table 2,True,12,48,12,48,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,38bb38109df03447bf24b1cceecce36f672cb942c4a5abad1491c2f37afb7f6f,d0c1fd898e4fba45dc390475a45cd2ffc3082b5196d56144b2971a4357ecc724,True,True,True,True,True,True,True,True,True
5,included,PMC10136496,https://pmc.ncbi.nlm.nih.gov/articles/PMC10136496/,cancers-15-02308-t001,Table 1,True,27,108,27,108,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,276604c76e63defac17fdc1138c8c47d0219e29b5dda841cc1161b47c3b6434b,772614863065540ecac0f7b8aa8d3f2080663b6377afca9321585fc32eddf5d0,True,True,True,True,True,True,True,True,True
6,included,PMC10323525,https://pmc.ncbi.nlm.nih.gov/articles/PMC10323525/,T1,Table 1,True,20,80,20,80,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,07da42d3968f6c853fbd0d42bf90c291312c00ae4227b22be17d272cc5471a28,72c0265e85f8198afc85e8d6649d28c15fa284237cbc0e4b48db57dba7b2ecee,True,True,True,True,True,True,True,True,True
7,included,PMC10500291,https://pmc.ncbi.nlm.nih.gov/articles/PMC10500291/,JCTH-2022-00107-t1,Table 1,True,10,40,10,40,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,a944b6548c060ec649643f734c029b938a372605212c3384b7d47720159e2f61,90640e9e0ebb2c7b762036538400c0ae75ab265ec776457b276d67726d3f724f,True,True,True,True,True,True,True,True,True
8,included,PMC10660142,https://pmc.ncbi.nlm.nih.gov/articles/PMC10660142/,T2,Table 2,True,5,20,5,20,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,a5233f74b276be3b05a23251ee4d7f0dfdb4fc48d425470a174075b44694337f,023d19c36e09059d481dde4dd1ae6798eab314fb077cb124a405ef5f89de0d40,True,True,True,True,True,True,True,True,True
9,included,PMC10814351,https://pmc.ncbi.nlm.nih.gov/articles/PMC10814351/,diagnostics-14-00207-t001,Table 1,True,6,24,6,24,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,7edea97c0fd5e199328dab8eb24d543114ccdc2f8f6dd8a3770a1ec2b30c4a2d,8621eddfeae30dc5f404f5086a3d5cecdc51429068b3e8d3473294334dddcb86,True,True,True,True,True,True,True,True,True
10,included,PMC11144246,https://pmc.ncbi.nlm.nih.gov/articles/PMC11144246/,Tab1,Table 1,True,31,124,31,124,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,c13334c3383959a97e856f568645a16279288608691b2ce837892b8993ddde40,faad0910fc87223a9e8a516c0d4b6a23fe7cbbf8c3f565342b00c81acee810d5,True,True,True,True,True,True,True,True,True
11,included,PMC11485374,https://pmc.ncbi.nlm.nih.gov/articles/PMC11485374/,t1,Table 1,True,12,48,12,48,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,504972487f20d5311f18b90002405c9267818ecf4374ba4c114e74a213e30989,a6f208e713de4c2e50893485e8b30b95d174131df6738008fc40eb8362f76292,True,True,True,True,True,True,True,True,True
12,included,PMC11788135,https://pmc.ncbi.nlm.nih.gov/articles/PMC11788135/,T2,Table 2,True,30,120,30,120,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,0acd7ff43ac1a4c250417ef6f5b565d12ea4f668af608d50d051320531693a34,053d5c60d650e30615bcb0d802b125a83d57c5e65ff5af636048db8ce75aab47,True,True,True,True,True,True,True,True,True
13,included,PMC11927552,https://pmc.ncbi.nlm.nih.gov/articles/PMC11927552/,table-2,TABLE 2,True,6,24,6,24,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,59a4f7a4b68e34212a92c8534733d1588ebf39f1d0930b8b4f2797f66dd789f4,c2deee1186adaa53029a22d438e8f38b20ad92f3b43872da805f62a9f67e7b34,True,True,True,True,True,True,True,True,True
14,included,PMC12153147,https://pmc.ncbi.nlm.nih.gov/articles/PMC12153147/,Tab2,Table 2,True,12,48,12,48,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,bfd38199163903b5a7e45c6dd04bd30ca5d74c49ad322c7baef2aacd0ed68b7a,f554bc312f2fc2518b6b84e61fa77c0d34691980759390e7c272f1629be21f12,True,True,True,True,True,True,True,True,True
15,included,PMC12432652,https://pmc.ncbi.nlm.nih.gov/articles/PMC12432652/,t3,Table 3,True,5,20,5,20,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,700f0aae10308c58148274c558395647cd0911081d85ff5f90e4ffb6fd7be204,6460256c1c8f4dd8c45ee9285d8ea8b2b42624d42e3bb670740bcc0e01258db9,True,True,True,True,True,True,True,True,True
16,included,PMC12665772,https://pmc.ncbi.nlm.nih.gov/articles/PMC12665772/,T2,Table 2,True,15,60,15,60,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,d2d3dde922b7054739f0c6b11295b94f89f2a6859e1d16bd4fb2beadb0aec1c5,0c58eb353a49924eb7ff7df357d8af9f46f27faeef1662e92dc3cd7d099a53a1,True,True,True,True,True,True,True,True,True
17,included,PMC12780560,https://pmc.ncbi.nlm.nih.gov/articles/PMC12780560/,t2,Table 2,True,20,80,20,80,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,78df37acb3074a6ef496e47df9ecadb4eb61eeeb105f2fd6a7fed8a397c4ce85,15d2309dbfe94656a7d720f1cbfbafc988e07630b4081094a8dfb3fb9a1fd97b,True,True,True,True,True,True,True,True,True
18,included,PMC12966028,https://pmc.ncbi.nlm.nih.gov/articles/PMC12966028/,T2,Table 2,True,14,56,14,56,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,3e76771da7f5393760da8c5e38ba553fc62a08297c1f1b8fd8081ec35fa0417d,940cb3ddb36b7850e14ec6b71860250c274a22cfbaf92167cacfbe16b68b660d,True,True,True,True,True,True,True,True,True
19,included,PMC13097200,https://pmc.ncbi.nlm.nih.gov/articles/PMC13097200/,AT5,Table 7,True,5,20,5,20,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,b3c68aad904b16429fcc02a02069ad3a8124420acaa739d67674bd0d2f42c17e,2919d7189d7ebc5e38ce8e80e6d6b98d4d4fcddddd4066d84bb327a2d6586662,True,True,True,True,True,True,True,True,True
20,included,PMC7006196,https://pmc.ncbi.nlm.nih.gov/articles/PMC7006196/,Tab4,Table 4,True,10,40,10,40,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,67f51d28e97d69b4550dbb4f28ef23eee22e00973787822b0bf9808228a74269,86094041ddd3c71543accd058f432a068e2c481ef8149e6fd112d6dd31059d9e,True,True,True,True,True,True,True,True,True
21,included,PMC7821724,https://pmc.ncbi.nlm.nih.gov/articles/PMC7821724/,Tab1,Table 1,True,29,116,29,116,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,7f96ec44e972e6b4a73b3efd66da0acad9ec04927a47128ecdd0bc6bf8979fce,d94626dae859e1b12849ae0d28a408791e23aa6214f9c576bbab92714492fff6,True,True,True,True,True,True,True,True,True
22,included,PMC8446503,https://pmc.ncbi.nlm.nih.gov/articles/PMC8446503/,t1-usg-20191,Table 1.,True,7,28,7,28,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,3f0a4c0068fe7b170019fe306851154c0dfdc37e0d1aca330950ebb8ea467906,0b833564c1dd180fad37e1b1d39659773dc5deae332598191bd46d492eed9de9,True,True,True,True,True,True,True,True,True
23,included,PMC8627055,https://pmc.ncbi.nlm.nih.gov/articles/PMC8627055/,Tab1,Table 1,True,16,64,16,64,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,725b43d2e5900ec76457c9698a2f41e26fc8c2d97df9d00c997ac86bb8c9647f,095f9570dc782f6ca87b6a46d94ca0b252a3314ef377196c7a6e0f05e6542e3b,True,True,True,True,True,True,True,True,True
24,included,PMC8765637,https://pmc.ncbi.nlm.nih.gov/articles/PMC8765637/,pone.0261521.t001,Table 1,True,6,24,6,24,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,f14575f01250717f95d9330e78a0e003367327278da6e472d1c1484f3b486545,8e7a57383a48e3810e94258897e948d59144073be31b29954eea44f3e3648147,True,True,True,True,True,True,True,True,True
25,included,PMC8958078,https://pmc.ncbi.nlm.nih.gov/articles/PMC8958078/,tab3,Table 3,True,9,36,9,36,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,1174277b25b74849e7edef279a6b1712be6c2348e4a2eb34ac961e25120ce539,fbe8ac2f667425dc3603723309fd241f078a1329ed97eb402b3ee6cefc76566a,True,True,True,True,True,True,True,True,True
